state,gdp,percent,gdpPerCapita
alabama,234054,1.1,47735
alaska,55759,0.3,76220
arizona,372522,1.7,51179
arkansas,135225,0.6,44808
california,3183251,14.6,80563
colorado,396367,1.8,68828
connecticut,288985,1.3,81055
delaware,76410,0.4,78468
florida,1111378,5.1,51745
georgia,625329,2.9,58896
hawaii,98536,0.5,69593
idaho,82265,0.4,46043
illinois,908913,4.2,71727
indiana,381733,1.8,56702
iowa,197172,0.9,62493
kansas,175703,0.8,60310
kentucky,217564,1,48697
louisiana,267051,1.2,57445
maine,68441,0.3,50915
maryland,434312,2,71838
massachusetts,604208,2.8,86942
michigan,548567,2.5,54928
minnesota,385907,1.8,68427
mississippi,120429,0.6,40464
missouri,336816,1.6,54879
montana,52948,0.2,49540
nebraska,129098,0.6,66737
nevada,180406,0.8,58570
newhampshire,89836,0.4,66069
newjersey,652412,3,73451
newmexico,105263,0.5,50201
newyork,1751674,8.1,90043
northcarolina,596383,2.7,56862
northdakota,57400,0.3,75321
ohio,706764,3.3,60464
oklahoma,207381,1,52409
oregon,255418,1.2,60558
pennsylvania,824603,3.8,64412
rhodeisland,64441,0.3,60830
southcarolina,249958,1.2,48547
southdakota,54057,0.3,61104
tennessee,385741,1.8,56451
texas,1918065,8.8,66149
utah,192013,0.9,59892
vermont,35271,0.2,56525
virginia,561846,2.6,65824
washington,610488,2.8,80170
westvirginia,78507,0.4,43806
wisconsin,351922,1.6,60425
wyoming,39794,0.2,68757